experiment_id,fault_type,fault_target,ground_truth_root_cause,detected_root_cause,rca_match,detected_confidence,incident_id,traffic_rate_rps,requests_started,requests_completed,requests_failed,observed_start_rate,observed_completion_rate,max_concurrent_requests,average_response_latency,p95_response_latency,telemetry_samples_count,duration_seconds,experiment_status
EXP-001,NO_FAULT,none,none,none,,0.0,none,1,39,39,0,1.03,1.03,1,19.12,23.46,190,25.0,SUCCESS
EXP-002,NO_FAULT,none,none,none,,0.0,none,1,39,39,0,1.03,1.03,1,20.32,23.73,195,25.0,SUCCESS
EXP-003,NO_FAULT,none,none,none,,0.0,none,1,39,39,0,1.03,1.03,1,20.89,23.8,190,25.0,SUCCESS
EXP-004,NO_FAULT,none,none,none,,0.0,none,1,39,39,0,1.03,1.03,1,19.66,23.89,195,25.0,SUCCESS
EXP-005,NO_FAULT,none,none,none,,0.0,none,5,191,191,0,5.03,5.02,1,17.63,21.87,195,25.0,SUCCESS
EXP-006,NO_FAULT,none,none,none,,0.0,none,5,191,191,0,5.02,5.02,1,16.98,21.26,190,25.0,SUCCESS
EXP-007,NO_FAULT,none,none,none,,0.0,none,5,191,191,0,5.02,5.02,1,16.94,21.02,195,25.0,SUCCESS
EXP-008,NO_FAULT,none,none,none,,0.0,none,15,571,571,0,15.02,15.02,1,12.69,17.93,190,25.0,SUCCESS
EXP-009,NO_FAULT,none,none,none,,0.0,none,15,571,571,0,15.02,15.01,1,12.51,17.38,195,25.0,SUCCESS
EXP-010,NO_FAULT,none,none,none,,0.0,none,15,571,571,0,15.02,15.02,1,13.37,18.37,195,25.0,SUCCESS
EXP-011,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.8943,2e1080e1-70d7-4805-a147-c748a240c510,1,40,40,0,1.02,1.02,1,151.89,228.6,195,26.0,SUCCESS
EXP-012,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.8983,d536e09c-20ba-4dca-9279-9c74b33627bc,1,40,40,0,1.02,1.02,1,279.99,427.48,195,26.0,SUCCESS
EXP-013,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.9023,bd8f4b1e-c3da-4688-b0fd-064f82ccec58,1,40,40,0,1.02,1.02,1,409.97,626.96,200,26.0,SUCCESS
EXP-014,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.9063,5da17f68-969a-4961-af30-b3f086fe070c,1,40,40,0,1.02,1.02,1,541.84,828.37,195,26.0,SUCCESS
EXP-015,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,10b50c30-9c41-41d4-90d5-a4d145dbda1a,1,40,40,0,1.02,1.02,2,668.97,1022.27,200,26.0,SUCCESS
EXP-016,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,47ffad45-984a-403e-ac28-c2e931bef87b,1,40,40,0,1.02,1.02,2,800.46,1227.7,195,26.0,SUCCESS
EXP-017,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,86b8d881-58cc-48b0-abb0-4103f3394fe2,1,40,40,0,1.02,1.02,2,995.23,1525.73,200,26.0,SUCCESS
EXP-018,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,3f051a37-1254-4011-a059-b6d93428dc15,1,40,40,0,1.02,1.02,2,1188.41,1823.98,195,26.0,SUCCESS
EXP-019,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,09815be6-11e8-4f91-ab3b-a4fcfa1831b1,1,40,40,0,1.02,1.02,3,1450.2,2226.48,195,26.0,SUCCESS
EXP-020,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,2f8c7323-70d9-4f4d-8b71-688f0e3cbe4e,1,40,40,0,1.02,1.02,3,1644.09,2526.39,200,26.0,SUCCESS
EXP-021,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.9023,f2102deb-2e44-4021-875f-414f2ea360b2,5,196,196,0,5.02,5.02,4,414.32,620.09,195,26.0,SUCCESS
EXP-022,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,f07e4510-cabb-4f6a-9bb8-a42049c2a7ab,5,196,196,0,5.02,5.02,7,811.93,1219.83,200,26.0,SUCCESS
EXP-023,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.9023,c1c4fddc-3a0e-4857-b44e-4ccee4bb48a9,15,586,586,0,15.01,15.01,10,412.19,617.2,195,26.0,SUCCESS
EXP-024,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,1781fb74-d6bf-4b89-998d-4be7d93da7a1,15,586,586,0,15.01,15.01,19,811.26,1218.0,200,26.0,SUCCESS
EXP-025,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,b9778a8a-2038-4e13-a980-f91b601dcc0d,1,40,40,0,1.02,1.02,2,665.85,1021.24,200,26.0,SUCCESS
EXP-026,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,1bc957ca-7de1-4c08-8e92-58bac40c6b86,1,40,40,0,1.02,1.02,2,994.44,1526.06,195,26.0,SUCCESS
EXP-027,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,006d39f6-0032-45c1-abf2-b82b123d8411,1,40,40,0,1.02,1.02,2,1189.03,1824.29,200,26.0,SUCCESS
EXP-028,DB_LATENCY,inventory-db,inventory-db,inventory-db,True,0.91,b8a6dc9c-b35b-4bb7-a9a1-1be071a6bc94,1,40,40,0,1.02,1.02,3,1643.13,2525.49,195,26.0,SUCCESS
EXP-029,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.8615,2fb36170-313b-4efb-bd49-5e98959bc674,1,40,40,0,1.02,1.02,1,148.9,225.24,200,26.0,SUCCESS
EXP-030,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.8991,4d94f682-b0e0-4ec5-8ee8-4f15104e5777,1,40,40,0,1.02,1.02,1,278.4,423.24,195,26.0,SUCCESS
EXP-031,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.9031,52b3c3e5-5549-4b54-bb64-6b4828aa0356,5,196,196,0,5.02,5.02,4,413.01,619.17,200,26.0,SUCCESS
EXP-032,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.9071,a9453e85-d09d-4e8d-b254-6a4863d93315,1,40,40,0,1.02,1.02,1,538.27,824.84,195,26.0,SUCCESS
EXP-033,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.91,78d5e501-03e8-4aed-a50d-292c87130544,5,196,196,0,5.02,5.02,6,677.27,1017.83,200,26.0,SUCCESS
EXP-034,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.91,d7d7c974-2734-470b-a306-e254e52ee0fe,1,40,40,0,1.02,1.02,2,992.33,1523.11,200,26.0,SUCCESS
